Nr	ID	Orig	Pair	Site	Bed	Soil	Alt	LL09a	BMtL10mg	BMS10mg	H10f	tBB10d	tSB10d	dB10d
86	ID86	O1800m	Vatt	Chla	bed04	gra	600m	0.5	636.5	204.1	2	138	162	24
87	ID87	O1200m	Lumn	Chla	bed04	gra	600m	0.5	208.9	0	0	NA	NA	0
88	ID88	O1800m	Ober	Chla	bed04	gra	600m	2.7	448.7	994.3	4	146	162	16
89	ID89	O1200m	Frut	Chla	bed04	gra	600m	1.7	405.7	2472.5	13	138	146	8
90	ID90	O1800m	Flue	Chla	bed04	gra	600m	0.9	241.6	1713.8	8	146	162	16
91	ID91	O1200m	Flue	Chla	bed04	gra	600m	0.7	144.6	0	0	NA	NA	0
92	ID92	O1800m	Luts	Chla	bed04	gra	600m	0.8	281	0	0	NA	NA	0
93	ID93	O1200m	Chat	Chla	bed04	gra	600m	1	112.5	507.7	1	154	NA	NA
94	ID94	O1800m	Bex	Chla	bed04	gra	600m	1.2	228.8	0	0	154	NA	0
95	ID95	O1200m	Ober	Chla	bed04	gra	600m	0.9	491.4	0	0	154	NA	0
96	ID96	O1800m	Sach	Chla	bed04	gra	600m	0.7	251.2	157.9	2	138	162	24
97	ID97	O1200m	Reic	Chla	bed04	gra	600m	0.7	141.8	240.5	4	138	162	24
98	ID98	O1800m	Hein	Chla	bed04	gra	600m	1	NA	NA	NA	NA	NA	NA
99	ID99	O1200m	Sach	Chla	bed04	gra	600m	0.6	NA	NA	NA	NA	NA	NA
100	ID100	O1800m	Hasl	Chla	bed04	gra	600m	1.2	786	1124.9	5	138	162	24
101	ID101	O1200m	Bex	Chla	bed04	gra	600m	1.2	593	751.6	3	146	162	16
102	ID102	O1800m	Frut	Chla	bed04	gra	600m	2.1	960.1	4214.9	26	138	154	16
103	ID103	O1200m	Vatt	Chla	bed04	gra	600m	0.4	216.1	0	0	NA	NA	0
104	ID104	O1800m	Reic	Chla	bed04	gra	600m	0.5	283.9	0	0	NA	NA	0
105	ID105	O1200m	Brie	Chla	bed04	gra	600m	1.6	1071.4	7088.1	17	146	162	16
